DATE OCC,AREA NAME,Crm Cd Desc,Vict Age,Vict Sex
02/04/2025 12:00:00 AM,Southwest,"VEHICLE, STOLEN - OTHER (MOTORIZED SCOOTERS, BIKES, ETC)",0,
01/21/2025 12:00:00 AM,Harbor,VEHICLE - STOLEN,0,
02/15/2025 12:00:00 AM,Harbor,BURGLARY,51,M
01/29/2025 12:00:00 AM,Mission,ROBBERY,16,F
01/21/2025 12:00:00 AM,Southwest,"VEHICLE, STOLEN - OTHER (MOTORIZED SCOOTERS, BIKES, ETC)",0,
01/30/2025 12:00:00 AM,Northeast,BURGLARY FROM VEHICLE,30,F
03/12/2025 12:00:00 AM,Southwest,VEHICLE - STOLEN,0,
03/05/2025 12:00:00 AM,Southeast,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0,X
03/16/2025 12:00:00 AM,West Valley,TRESPASSING,0,M
01/26/2025 12:00:00 AM,Hollenbeck,BURGLARY,0,X
02/06/2025 12:00:00 AM,Harbor,CRIMINAL THREATS - NO WEAPON DISPLAYED,54,M
01/23/2025 12:00:00 AM,Harbor,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0,
02/19/2025 12:00:00 AM,Mission,CHILD ANNOYING (17YRS & UNDER),17,F
01/13/2025 12:00:00 AM,Harbor,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",13,M
03/17/2025 12:00:00 AM,Devonshire,BURGLARY,0,M
02/06/2025 12:00:00 AM,Harbor,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0,
02/06/2025 12:00:00 AM,West Valley,VIOLATION OF COURT ORDER,29,F
02/26/2025 12:00:00 AM,Hollenbeck,VEHICLE - STOLEN,0,
03/21/2025 12:00:00 AM,Mission,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0,M
02/10/2025 12:00:00 AM,Van Nuys,BATTERY - SIMPLE ASSAULT,13,M
01/15/2025 12:00:00 AM,Harbor,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0,
02/27/2025 12:00:00 AM,Southwest,VEHICLE - STOLEN,0,
02/14/2025 12:00:00 AM,Mission,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",59,M
03/12/2025 12:00:00 AM,Mission,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",15,M
02/07/2025 12:00:00 AM,Harbor,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0,
03/06/2025 12:00:00 AM,Southwest,"VEHICLE, STOLEN - OTHER (MOTORIZED SCOOTERS, BIKES, ETC)",0,
03/06/2025 12:00:00 AM,Mission,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0,X
02/05/2025 12:00:00 AM,Southwest,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0,
01/23/2025 12:00:00 AM,Harbor,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0,
02/23/2025 12:00:00 AM,Topanga,CHILD NEGLECT (SEE 300 W.I.C.),0,M
02/10/2025 12:00:00 AM,Foothill,TRESPASSING,0,X
02/05/2025 12:00:00 AM,Harbor,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0,
01/01/2025 12:00:00 AM,Northeast,THEFT OF IDENTITY,18,F
02/20/2025 12:00:00 AM,Southwest,VEHICLE - STOLEN,0,
