06/03/2024 12:00:00 AM,Newton,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",25,M
06/03/2024 12:00:00 AM,West LA,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),0,
06/03/2024 12:00:00 AM,Central,TRESPASSING,0,X
06/03/2024 12:00:00 AM,Newton,VEHICLE - STOLEN,0,
06/03/2024 12:00:00 AM,Southwest,BURGLARY,27,M
06/03/2024 12:00:00 AM,Olympic,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0,X
06/03/2024 12:00:00 AM,Southwest,TRESPASSING,23,X
06/04/2024 12:00:00 AM,Southeast,VEHICLE - STOLEN,0,
06/04/2024 12:00:00 AM,Devonshire,PICKPOCKET,52,M
06/04/2024 12:00:00 AM,Van Nuys,DOCUMENT FORGERY / STOLEN FELONY,66,M
06/04/2024 12:00:00 AM,West LA,BURGLARY FROM VEHICLE,29,M
06/04/2024 12:00:00 AM,Rampart,THEFT OF IDENTITY,27,M
06/04/2024 12:00:00 AM,Pacific,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",27,F
06/04/2024 12:00:00 AM,Hollywood,BURGLARY FROM VEHICLE,31,M
06/04/2024 12:00:00 AM,Central,BURGLARY FROM VEHICLE,29,F
06/04/2024 12:00:00 AM,Van Nuys,SHOPLIFTING - PETTY THEFT ($950 & UNDER),31,F
06/04/2024 12:00:00 AM,Pacific,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",53,M
06/04/2024 12:00:00 AM,Topanga,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0,M
06/04/2024 12:00:00 AM,Devonshire,VEHICLE - STOLEN,0,
06/04/2024 12:00:00 AM,Mission,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),41,F
06/04/2024 12:00:00 AM,West Valley,VEHICLE - STOLEN,0,
06/04/2024 12:00:00 AM,Newton,BURGLARY FROM VEHICLE,46,M
06/04/2024 12:00:00 AM,77th Street,VEHICLE - STOLEN,0,
06/04/2024 12:00:00 AM,Northeast,TRESPASSING,0,X
06/04/2024 12:00:00 AM,Southwest,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),0,
06/04/2024 12:00:00 AM,Olympic,THEFT PLAIN - PETTY ($950 & UNDER),28,M
06/04/2024 12:00:00 AM,Central,"EMBEZZLEMENT, GRAND THEFT ($950.01 & OVER)",0,
06/04/2024 12:00:00 AM,Mission,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),50,F
06/04/2024 12:00:00 AM,Central,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",32,M
06/04/2024 12:00:00 AM,Devonshire,SHOPLIFTING-GRAND THEFT ($950.01 & OVER),0,X
06/04/2024 12:00:00 AM,Hollywood,THEFT OF IDENTITY,29,F
06/04/2024 12:00:00 AM,77th Street,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),31,M
06/05/2024 12:00:00 AM,77th Street,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),32,F
06/05/2024 12:00:00 AM,Olympic,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),0,
06/05/2024 12:00:00 AM,Wilshire,BIKE - STOLEN,30,F
06/05/2024 12:00:00 AM,N Hollywood,VEHICLE - STOLEN,0,
06/05/2024 12:00:00 AM,Pacific,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),0,
06/05/2024 12:00:00 AM,Newton,THEFT OF IDENTITY,37,F
06/05/2024 12:00:00 AM,Northeast,PICKPOCKET,48,F
06/05/2024 12:00:00 AM,N Hollywood,VEHICLE - STOLEN,0,
06/05/2024 12:00:00 AM,West LA,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",58,F
06/05/2024 12:00:00 AM,Central,TRESPASSING,0,X
06/05/2024 12:00:00 AM,Mission,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),29,F
06/05/2024 12:00:00 AM,Central,BURGLARY FROM VEHICLE,26,M
06/05/2024 12:00:00 AM,Southwest,TRESPASSING,23,X
06/05/2024 12:00:00 AM,Southeast,VEHICLE - STOLEN,0,
06/05/2024 12:00:00 AM,Rampart,VEHICLE - STOLEN,0,
